Title,Category,Rating,Price,Stock
A Light in the Attic,Poetry,3,51.77,22
Tipping the Velvet,Historical Fiction,1,53.74,20
Soumission,Fiction,1,50.1,20
Sharp Objects,Mystery,4,47.82,20
Sapiens: A Brief History of Humankind,History,5,54.23,20
The Requiem Red,Young Adult,1,22.65,19
The Dirty Little Secrets of Getting Your Dream Job,Business,4,33.34,19
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,3,17.93,19
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,4,22.6,19
The Black Maria,Poetry,1,52.15,19
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,2,13.99,19
Shakespeare's Sonnets,Poetry,4,20.66,19
Set Me Free,Young Adult,5,17.46,19
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,5,52.29,19
Rip it Up and Start Again,Music,5,35.02,19
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,3,57.25,19
Olio,Poetry,1,23.88,19
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,1,37.59,19
Libertarianism for Beginners,Politics,2,51.33,19
It's Only the Himalayas,Travel,2,45.17,19
In Her Wake,Thriller,1,12.84,19
How Music Works,Music,2,37.32,19
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,3,30.52,19
Chase Me (Paris Nights #2),Romance,5,25.27,19
Black Dust,Romance,5,34.53,19
Birdsong: A Story in Pictures,Childrens,3,54.64,19
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,3,22.5,19
Aladdin and His Wonderful Lamp,Default,3,53.13,19
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Nonfiction,5,40.3,18
Wall and Piece,Art,4,44.18,18
The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,5,17.66,18
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,3,31.05,18
The Elephant Tree,Thriller,5,23.82,18
The Bear and the Piano,Childrens,1,36.89,18
Sophie's World,Philosophy,5,15.94,18
Penny Maybe,Default,3,33.29,18
Maude (1883-1993):She Grew Up with the country,Default,2,18.02,18
"In a Dark, Dark Wood",Mystery,1,19.63,18
Behind Closed Doors,Thriller,4,52.22,18
You can't bury them all: Poems,Poetry,2,33.63,17
Slow States of Collapse: Poems,Poetry,3,57.31,17
Reasons to Stay Alive,Nonfiction,2,26.41,17
Private Paris (Private #10),Fiction,5,47.61,17
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,5,23.11,17
Without Borders (Wanderlove #1),New Adult,2,45.07,16
When We Collided,Contemporary,1,31.77,16
"We Love You, Charlie Freeman",Fiction,5,50.27,16
Untitled Collection: Sabbath Poems 2014,Poetry,4,14.27,16
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,4,44.18,16
Unicorn Tracks,Fantasy,3,18.78,16
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,1,25.52,16
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,1,16.28,16
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,3,31.12,16
This One Summer,Sequential Art,4,19.49,16
Thirst,Fiction,5,17.27,16
The Torch Is Passed: A Harding Family Story,Add a comment,1,19.09,16
The Secret of Dreadwillow Carse,Childrens,1,56.13,16
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,1,56.41,16
The Past Never Ends,Mystery,4,56.5,16
The Natural History of Us (The Fine Art of Pretending #2),Young Adult,3,45.22,16
The Nameless City (The Nameless City #1),Sequential Art,4,38.16,16
The Murder That Never Was (Forensic Instincts #5),Fiction,3,54.11,16
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,4,42.96,16
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Add a comment,4,23.89,16
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,3,16.77,16
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,5,20.59,16
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,1,37.13,16
The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,1,56.06,16
The Death of Humanity: and the Case for Life,Philosophy,4,58.11,16
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Health,3,49.05,16
The Art Forger,Add a comment,3,40.76,16
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,1,19.73,16
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Spirituality,5,32.24,16
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,4,41.83,16
Soul Reader,Default,2,39.58,16
Security,Horror,2,39.25,16
"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,3,25.02,16
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,2,51.04,16
Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,2,19.83,16
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,3,50.4,16
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,5,13.61,16
Princess Between Worlds (Wide-Awake Princess #5),Fantasy,5,13.34,16
"Pop Gun War, Volume 1: Gift",Sequential Art,1,18.97,16
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,2,36.28,16
Patience,Sequential Art,3,10.16,16
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,4,15.44,16
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,1,48.41,16
Online Marketing for Busy Authors: A Step-By-Step Guide,Self Help,1,46.35,16
On a Midnight Clear,Add a comment,3,14.07,16
Obsidian (Lux #1),Young Adult,2,14.86,16
My Paris Kitchen: Recipes and Stories,Food and Drink,2,33.37,16
Masks and Shadows,Fantasy,2,56.4,16
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,4,14.02,16
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,2,46.91,16
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,3,45.61,16
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,2,19.92,16
"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,1,40.11,16
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Add a comment,2,53.9,16
Join,Science Fiction,5,35.67,16
In the Country We Love: My Family Divided,Nonfiction,4,22.0,16
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Science,5,57.36,16
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,2,29.17,16
I am a Hero Omnibus Volume 1,Sequential Art,3,54.63,16
How to Be Miserable: 40 Strategies You Already Use,Self Help,1,46.03,16
Her Backup Boyfriend (The Sorensen Family #1),Romance,1,33.97,16
"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,2,22.11,16
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,3,29.69,16
First and First (Five Boroughs #3),Romance,4,15.97,16
Fifty Shades Darker (Fifty Shades #2),Romance,1,21.96,16
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Nonfiction,2,54.35,16
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Religion,2,37.97,16
Danganronpa Volume 1,Sequential Art,4,51.99,16
Crown of Midnight (Throne of Glass #2),Fantasy,3,43.29,16
"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,4,36.72,16
Camp Midnight,Sequential Art,4,17.08,16
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Nonfiction,5,29.14,16
Burning,Young Adult,3,28.81,16
Bossypants,Default,2,49.46,16
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,2,37.92,16
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Fantasy,2,28.09,16
Algorithms to Live By: The Computer Science of Human Decisions,Nonfiction,1,30.81,16
A World of Flavor: Your Gluten Free Passport,Default,1,42.95,16
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Default,5,56.76,16
A Murder in Time,Mystery,1,16.64,16
A Flight of Arrows (The Pathfinders #2),Historical Fiction,5,55.53,16
A Fierce and Subtle Poison,Young Adult,4,28.13,16
A Court of Thorns and Roses (A Court of Thorns and Roses #1),Fantasy,1,52.37,16
(Un)Qualified: How God Uses Broken People to Do Big Things,Christian,5,54.0,16
You Are What You Love: The Spiritual Power of Habit,Religion,4,21.87,15
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Science Fiction,4,43.3,15
Tuesday Nights in 1980,Fiction,2,21.04,15
Tracing Numbers on a Train,Default,3,41.6,15
Throne of Glass (Throne of Glass #1),Fantasy,3,35.07,15
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,History,1,59.64,15
Thirteen Reasons Why,Default,1,52.72,15
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,Childrens,4,58.08,15
The Wedding Dress,Romance,1,24.12,15
The Vacationers,Fiction,4,42.15,15
The Third Wave: An Entrepreneurâs Vision of the Future,Business,5,12.61,15
The Stranger,Philosophy,4,17.44,15
The Shadow Hero (The Shadow Hero),Sequential Art,1,33.14,15
The Secret (The Secret #1),Default,4,27.37,15
The Regional Office Is Under Attack!,Fiction,5,51.36,15
The Psychopath Test: A Journey Through the Madness Industry,Default,2,36.0,15
The Project,Science Fiction,1,10.65,15
The Power of Now: A Guide to Spiritual Enlightenment,Nonfiction,2,43.54,15
The Omnivore's Dilemma: A Natural History of Four Meals,Nonfiction,2,38.21,15
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Food and Drink,5,37.34,15
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,4,44.1,15
The Mistake (Off-Campus #2),New Adult,3,43.29,15
The Matchmaker's Playbook (Wingmen Inc. #1),New Adult,1,55.85,15
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Food and Drink,2,37.6,15
The Long Shadow of Small Ghosts: Murder and Memory in an American City,Crime,1,10.97,15
The Kite Runner,Default,4,41.82,15
The House by the Lake,Historical Fiction,1,36.95,15
The Glittering Court (The Glittering Court #1),Fantasy,1,44.28,15
The Girl on the Train,Default,2,55.02,15
The Genius of Birds,Nonfiction,1,17.24,15
The Emerald Mystery,Default,2,23.15,15
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,Food and Drink,1,41.25,15
The Artist's Way: A Spiritual Path to Higher Creativity,Nonfiction,5,38.49,15
The Art of War,Default,5,33.34,15
The Argonauts,Autobiography,2,10.93,15
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Business,3,27.55,15
Suddenly in Love (Lake Haven #1),Romance,2,55.99,15
Something More Than This,Romance,4,16.24,15
Soft Apocalypse,Science Fiction,2,26.12,15
So You've Been Publicly Shamed,Nonfiction,2,12.23,15
Shoe Dog: A Memoir by the Creator of NIKE,Business,2,23.99,15
"Shobu Samurai, Project Aryoku (#3)",Add a comment,3,29.06,15
Secrets and Lace (Fatal Hearts #1),Default,1,20.27,15
Scarlett Epstein Hates It Here,Young Adult,5,43.55,15
Romero and Juliet: A Tragic Tale of Love and Zombies,Default,1,36.94,15
Redeeming Love,Christian Fiction,5,20.47,15
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,Default,1,41.06,15
Poems That Make Grown Women Cry,Poetry,4,14.19,15
"Nightingale, Sing",Young Adult,1,38.28,15
Night Sky with Exit Wounds,Poetry,1,41.05,15
Mrs. Houdini,Historical Fiction,5,30.25,15
Modern Romance,Add a comment,5,28.26,15
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),Default,1,10.76,15
Louisa: The Extraordinary Life of Mrs. Adams,Biography,2,16.85,15
Little Red,Childrens,3,13.47,15
Library of Souls (Miss Peregrineâs Peculiar Children #3),Young Adult,5,48.56,15
Large Print Heart of the Pride,Default,2,19.15,15
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Womens Fiction,4,57.36,15
Hollow City (Miss Peregrineâs Peculiar Children #2),Fantasy,1,42.98,15
Grumbles,Default,2,22.16,15
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Travel,4,49.43,15
Frostbite (Vampire Academy #2),Young Adult,5,29.99,15
Follow You Home,Horror,1,21.36,15
First Steps for New Christians (Print Edition),Default,1,29.0,15
Finders Keepers (Bill Hodges Trilogy #2),Fiction,5,53.53,15
"Fables, Vol. 1: Legends in Exile (Fables #1)",Sequential Art,4,41.62,15
Eureka Trivia 6.0,Default,4,54.59,15
Drive: The Surprising Truth About What Motivates Us,Default,4,34.95,15
Done Rubbed Out (Reightman & Bailey #1),Default,5,37.72,15
Doing It Over (Most Likely To #1),Romance,3,35.61,15
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Food and Drink,3,42.16,15
Dark Notes,Erotica,5,19.19,15
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Nonfiction,3,19.43,15
Close to You,Christian Fiction,4,49.46,15
Chasing Heaven: What Dying Taught Me About Living,Spirituality,2,37.8,15
Big Magic: Creative Living Beyond Fear,Nonfiction,3,30.8,15
Becoming Wise: An Inquiry into the Mystery and Art of Living,Nonfiction,2,27.43,15
Beauty Restored (Riley Family Legacy Novellas #3),Default,2,11.11,15
Batman: The Long Halloween (Batman),Sequential Art,2,36.5,15
Batman: The Dark Knight Returns (Batman),Sequential Art,5,15.38,15
Ayumi's Violin,Default,2,15.48,15
Anonymous,Default,4,46.82,15
Amy Meets the Saints and Sages,Default,3,18.46,15
Amid the Chaos,Cultural,1,36.58,15
Amatus,Default,5,50.54,15
Agnostic: A Spirited Manifesto,Nonfiction,5,12.51,15
Zealot: The Life and Times of Jesus of Nazareth,History,3,24.7,14
You (You #1),Thriller,5,43.61,14
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Sequential Art,4,37.34,14
Wild Swans,Young Adult,2,14.36,14
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,Politics,4,52.65,14
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Nonfiction,4,38.2,14
What's It Like in Space?: Stories from Astronauts Who've Been There,Nonfiction,2,19.6,14
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Sequential Art,1,53.9,14
Walt Disney's Alice in Wonderland,Childrens,5,12.96,14
V for Vendetta (V for Vendetta Complete),Default,4,37.1,14
Until Friday Night (The Field Party #1),Young Adult,2,46.31,14
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Default,2,45.95,14
Twenty Yawns,Childrens,2,22.08,14
Through the Woods,Sequential Art,2,25.38,14
This Is Where It Ends,Young Adult,2,27.12,14
The Year of Magical Thinking,Nonfiction,2,43.04,14
The Wright Brothers,Default,4,56.8,14
The White Queen (The Cousins' War #1),Add a comment,5,25.91,14
The Wedding Pact (The O'Malleys #2),Romance,3,32.61,14
The Time Keeper,Fiction,5,27.88,14
The Testament of Mary,Fiction,4,52.67,14
The Star-Touched Queen,Fantasy,5,46.02,14
The Songs of the Gods,Default,5,44.48,14
The Song of Achilles,Add a comment,5,37.4,14
The Rosie Project (Don Tillman #1),Default,1,54.04,14
The Power of Habit: Why We Do What We Do in Life and Business,Default,3,16.88,14
The Marriage of Opposites,Historical Fiction,4,28.08,14
The Lucifer Effect: Understanding How Good People Turn Evil,Psychology,1,10.4,14
The Long Haul (Diary of a Wimpy Kid #9),Humor,1,44.07,14
The Loney,Horror,1,23.4,14
The Literature Book (Big Ideas Simply Explained),Nonfiction,3,17.43,14
The Last Mile (Amos Decker #2),Mystery,2,54.21,14
The Immortal Life of Henrietta Lacks,Add a comment,2,40.67,14
The Hidden Oracle (The Trials of Apollo #1),Fantasy,2,52.26,14
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,Food and Drink,3,28.77,14
The Guilty (Will Robie #4),Thriller,2,13.82,14
The First Hostage (J.B. Collins #2),Fiction,3,25.85,14
The Dovekeepers,Add a comment,1,48.78,14
The Darkest Lie,Young Adult,5,35.35,14
The Bane Chronicles (The Bane Chronicles #1-11),Fantasy,4,44.73,14
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,Nonfiction,1,15.77,14
The 14th Colony (Cotton Malone #11),Thriller,1,39.24,14
That Darkness (Gardiner and Renner #1),Mystery,1,13.92,14
Tastes Like Fear (DI Marnie Rome #3),Mystery,1,10.69,14
Take Me with You,Fiction,3,45.21,14
Swell: A Year of Waves,Nonfiction,1,45.58,14
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Sequential Art,5,11.89,14
Still Life with Bread Crumbs,Fiction,3,26.41,14
Steve Jobs,Default,5,39.5,14
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,Science,4,44.74,14
Someone Like You (The Harrisons #2),Contemporary,5,52.79,14
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Sequential Art,4,35.43,14
Shtum,Fiction,4,55.84,14
See America: A Celebration of Our National Parks & Treasured Sites,Travel,3,48.87,14
salt.,Poetry,4,46.78,14
Robin War,Sequential Art,3,47.82,14
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Sequential Art,2,25.48,14
Rain Fish,Childrens,3,23.57,14
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",Poetry,5,50.89,14
Pet Sematary,Horror,3,10.56,14
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",Self Help,3,52.15,14
Once Was a Time,Childrens,2,18.28,14
Old School (Diary of a Wimpy Kid #10),Humor,5,11.83,14
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,Nonfiction,2,21.95,14
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Sequential Art,2,38.39,14
My Name Is Lucy Barton,Fiction,1,41.56,14
My Mrs. Brown,Fiction,3,24.48,14
My Kind of Crazy,Young Adult,1,40.36,14
Mr. Mercedes (Bill Hodges Trilogy #1),Fiction,1,28.9,14
More Than Music (Chasing the Dream #1),Add a comment,2,37.61,14
Made to Stick: Why Some Ideas Survive and Others Die,Business,5,38.85,14
Luis Paints the World,Childrens,3,53.95,14
Luckiest Girl Alive,Default,3,49.83,14
Lowriders to the Center of the Earth (Lowriders in Space #2),Sequential Art,2,51.51,14
Love Is a Mix Tape (Music #1),Music,1,18.03,14
Looking for Lovely: Collecting the Moments that Matter,Nonfiction,5,29.14,14
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",Default,4,46.91,14
Let It Out: A Journey Through Journaling,Nonfiction,5,26.79,14
Lady Midnight (The Dark Artifices #1),Default,5,16.28,14
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",Food and Drink,1,19.55,14
Island of Dragons (Unwanteds #7),Fantasy,1,29.65,14
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,Humor,4,25.98,14
I Am Pilgrim (Pilgrim #1),Fiction,4,10.6,14
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Humor,5,14.75,14
"Hush, Hush (Hush, Hush #1)",Default,3,47.02,14
Hold Your Breath (Search and Rescue #1),Romance,1,28.82,14
Hamilton: The Revolution,Nonfiction,3,58.79,14
Greek Mythic History,Default,5,10.23,14
God: The Most Unpleasant Character in All Fiction,Religion,5,30.03,14
Glory over Everything: Beyond The Kitchen House,Historical Fiction,3,45.84,14
Feathers: Displays of Brilliant Plumage,Art,3,49.05,14
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",Nonfiction,4,15.06,14
Every Last Word,Default,3,46.47,14
Eligible (The Austen Project #4),Fiction,3,27.09,14
El Deafo,Sequential Art,5,57.62,14
Eight Hundred Grapes,Fiction,4,14.39,14
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",Nonfiction,5,51.75,14
"Eat Fat, Get Thin",Health,2,54.07,14
